title,question,optionA,optionB,optionC,optionD,answer,explanation,subject
〈夏夜〉,根據楊喚的〈夏夜〉一詩，下列哪一個事物「沒有」被賦予「還醒著」的擬人化動態描述？,綠色的小河,椰子樹梢,夜風,瓜架上的南瓜,B,"課文提及「只有綠色的小河還醒著」、「只有夜風還醒著」與「只有窗外瓜架上的南瓜還醒著」[17, 19, 23]。而「椰子樹梢」僅是夜色爬下來的起點（「從椰子樹梢上輕輕地爬下來了」），並未被描述為「醒著」 [22]。",chinese
〈夏夜〉,〈夏夜〉中「只有綠色的小河還醒著，／低聲地歌唱著溜過彎彎的小橋」一句，在藝術效果上稱為什麼手法？,譬喻,借代,以動襯靜,倒反,C,"作者刻意以小河輕巧、微小的流動與歌唱聲，反襯出深夜整體的寧靜安祥。這種手法稱為「以動襯靜」 [20, 23, 27]。",chinese
〈夏夜〉,〈夏夜〉中「撒了滿天的珍珠和一枚又大又亮的銀幣」一句，其譬喻的本體被省略了，請問「珍珠」與「銀幣」分別是用來比喻什麼？,流星與太陽,星星與月亮,星星與太陽,螢火蟲與月亮,B,"這裡是以「珍珠」比喻夜空中的「星星」，「銀幣」比喻「月亮」，給人月明星燦、富麗高雅的夏夜感受 [23, 27]。",chinese
〈夏夜〉,承上題，這句詩句「撒了滿天的珍珠和一枚又大又亮的銀幣」在語意結構上省略了哪一個主詞？,「夜空」或「天空」,「椰子樹」,「綠色的小河」,「南瓜」,A,"這句省略了主詞「夜空」或「天空」，完整的文意是「天空撒了滿天的珍珠（星星）與一枚銀幣（月亮）」 [23, 27]。",chinese
〈夏夜〉,關於〈夏夜〉的文體與出處，下列敘述何者正確？,屬於近體詩，選自《楊喚全集》,屬於古體詩，選自《四十自述》,屬於現代詩（新詩），選自《楊喚全集》,屬於應用文，選自《四十自述》,C,〈夏夜〉是一首溫馨的現代詩（新詩），選自《楊喚全集》 [23]。,chinese
〈夏夜〉,關於〈夏夜〉作者楊喚的敘述，下列何者正確？,本名楊森，是台灣現代兒童文學的先驅，詩作充滿童心與溫馨色彩,本名胡適，是倡導白話文運動與新文化運動的前鋒,擅長撰寫幽默諷刺的散文,喜歡以嚴厲、寫實的議論風格來教育讀者,A,楊喚本名楊森，為台灣現代兒童文學的先驅，其詩作充滿童心與溫馨的色彩 [23]。,chinese
〈夏夜〉,「只有綠色的小河還醒著，／低聲地歌唱著溜過彎彎的小橋。」這句話主要融合了哪兩種摹寫法？,視覺與味覺,聽覺與嗅覺,聽覺與視覺,味覺與觸覺,C,句中「綠色的小河」屬於視覺摹寫；「低聲地歌唱」屬於聽覺摹寫 [21]。,chinese
〈夏夜〉,楊喚在〈夏夜〉中，連續三次將「只有」和「醒著」連用（夜風、小河、南瓜），作者如此寫作的用意「不包括」下列何者？,為靜謐安詳的夏夜增添無限生機,意境同「空山不見人，但聞人語響」以聲襯靜,強化夏夜的單調，營造出恐怖與孤寂,增強了深夜寂靜的效果,C,"作者連用三次是為了以這些微小的動態與聲音反襯深夜的寂靜，增添生機與溫馨感，而非為了表現單調恐怖或孤寂 [19, 20]。",chinese
〈夏夜〉,「來了！來了！／從椰子樹梢上輕輕地爬下來了。」這兩句詩所指「來了」的對象為何？,夕陽從椰子樹梢下沉,椰子從樹上掉下來,夜色逐漸籠罩大地,小孩從樹上爬下來,C,此處是以擬人手法，描寫「夜色」從椰子樹梢輕輕爬下來、逐漸籠罩大地的過程 [22]。,chinese
〈夏夜〉,承上題，「來了！來了！／從山坡上輕輕地爬下來了。」這句詩在語氣上含有何種情感？,著急、緊張,興奮、期待,悲傷、無奈,憂鬱、懷疑,B,"「來了！來了！」重複呼喚，傳達出兒童對夏夜來臨的「興奮與期待」之情 [21, 22]。",chinese
